DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47607,-54.68959,140.2
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47541,-54.68434,133.3
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.4745,-54.67791,155.2
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47377,-54.67273,82.6
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47359,-54.74458,30.3
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47294,-54.6663,31.6
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47214,-54.66112,10.9
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47193,-54.73278,120.1
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.47029,-54.72107,124.7
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.46698,-54.69749,81.9
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.46533,-54.68574,40.1
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.46346,-54.74598,17.0
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.46182,-54.73424,17.2
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.46019,-54.72251,32.4
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.45854,-54.7107,55.5
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.4569,-54.69896,155.6
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.45524,-54.6871,18.0
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.45008,-54.72393,88.3
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.44844,-54.71215,47.3
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.20784,-54.06724,6.1
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-8.20343,-54.06378,5.3
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,NOVO PROGRESSO,Amazônia,,,,-9.45699,-55.00151,11.5
2024/09/16 17:47:00,AQUA_M-T,Brasil,PARÁ,ALTAMIRA,Amazônia,,,,-9.48423,-54.60158,15.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,,,,-1.61035,-53.90709,7.0
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,,,,-1.08862,-54.18721,16.7
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,,,,-1.07959,-54.18848,30.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,,,,-1.0777,-54.04893,9.4
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,,,,-2.95961,-54.06257,15.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,MOJUÍ DOS CAMPOS,Amazônia,,,,-2.86625,-54.56834,9.5
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SANTARÉM,Amazônia,,,,-2.64585,-54.31592,26.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SANTARÉM,Amazônia,,,,-2.64448,-54.30638,108.2
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SANTARÉM,Amazônia,,,,-2.63667,-54.31726,70.8
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,SANTARÉM,Amazônia,,,,-2.63531,-54.30774,377.3
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,PLACAS,Amazônia,,,,-3.53835,-54.48842,14.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,,,,-3.26035,-54.16438,14.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,,,,-3.25116,-54.16568,11.9
2024/09/16 17:49:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,,,,-3.24981,-54.15614,135.3
